x0,y0,x2,y1,x4,y2,x6,y3,x8,y4,x10,y5,x12,y6,x14,y7,x16,y8,x18,y9,x20,y10,x22,y11,x24,y12,x26,y13,x28,y14,x30,y15,x32,y16,x34,y17,x36,y18,x38,y19,x40,y20,x0,y0,x2,y1,x4,y2,x6,y3,x8,y4,x10,y5,x12,y6,x14,y7,x16,y8,x18,y9,x20,y10,x22,y11,x24,y12,x26,y13,x28,y14,x30,y15,x32,y16,x34,y17,x36,y18,x38,y19,x40,y20,label
0.0,0.0,0.05733,0.00653,0.11192,-0.01503,0.15664,-0.01794,0.1876,-0.02822,0.09295,-0.17034,0.14823,-0.1929,0.18072,-0.1547,0.19257,-0.11386,0.07866,-0.17789,0.14225,-0.19863,0.17887,-0.15731,0.19191,-0.10935,0.06754,-0.16835,0.13271,-0.17759,0.17213,-0.13831,0.18937,-0.09508,0.0597,-0.13913,0.12133,-0.13681,0.15965,-0.11403,0.18222,-0.08572,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,B
0.0,0.0,0.06791,0.00653,0.13463,-0.01463,0.19062,-0.01384,0.23755,-0.01531,0.10635,-0.17132,0.17503,-0.15175,0.19913,-0.09266,0.20525,-0.04423,0.09163,-0.18387,0.17221,-0.18389,0.20309,-0.13174,0.21277,-0.07909,0.07935,-0.17475,0.15651,-0.17009,0.19348,-0.11899,0.21027,-0.07219,0.07125,-0.14283,0.13714,-0.13339,0.17893,-0.10716,0.2077,-0.07852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,B
0.0,0.0,0.06298,0.00497,0.1251,-0.01161,0.17324,-0.0071,0.20906,-0.00399,0.10461,-0.17829,0.17182,-0.1755,0.20043,-0.12338,0.20634,-0.07665,0.08976,-0.19074,0.16986,-0.19195,0.20149,-0.14068,0.20744,-0.09234,0.0787,-0.18192,0.15757,-0.17546,0.19282,-0.1235,0.20464,-0.07719,0.07228,-0.15132,0.14249,-0.1382,0.18269,-0.10924,0.20687,-0.07998,0.0,0.0,-0.06009,0.01697,-0.12238,0.00353,-0.16833,0.00608,-0.20966,0.01035,-0.1451,-0.08935,-0.19438,-0.11893,-0.23083,-0.10391,-0.25208,-0.08395,-0.13904,-0.10691,-0.19563,-0.13386,-0.23655,-0.11848,-0.26286,-0.09787,-0.13039,-0.12185,-0.18599,-0.15061,-0.22799,-0.14116,-0.25813,-0.12754,-0.11849,-0.13259,-0.16434,-0.1656,-0.1995,-0.17013,-0.22673,-0.16579,B
0.0,0.0,0.08015,-0.00987,0.14662,-0.02399,0.19366,-0.02178,0.22067,-0.03893,0.12004,-0.18789,0.17981,-0.18705,0.2095,-0.13775,0.22123,-0.0906,0.10726,-0.20537,0.18082,-0.19856,0.21346,-0.14714,0.22682,-0.09929,0.09897,-0.20386,0.17392,-0.1939,0.20743,-0.14227,0.22133,-0.09418,0.09496,-0.18143,0.1618,-0.17181,0.19783,-0.1416,0.22023,-0.11074,0.0,0.0,-0.08266,0.01143,-0.15609,0.0053,-0.2043,0.01511,-0.24362,0.01441,-0.1645,-0.10572,-0.21978,-0.10268,-0.25106,-0.05971,-0.26533,-0.01033,-0.15421,-0.12895,-0.22156,-0.12516,-0.25452,-0.07386,-0.26735,-0.01757,-0.14106,-0.14649,-0.20757,-0.14068,-0.2437,-0.08766,-0.25932,-0.03148,-0.12383,-0.15225,-0.18307,-0.15058,-0.22076,-0.12495,-0.24487,-0.09337,B
0.0,0.0,0.06968,0.00739,0.1373,-0.00553,0.18544,-0.01143,0.21121,-0.04171,0.1136,-0.17914,0.18013,-0.18544,0.21201,-0.13784,0.22029,-0.09128,0.09969,-0.19592,0.18408,-0.19282,0.21382,-0.13308,0.21754,-0.08144,0.09218,-0.19324,0.17626,-0.19082,0.21004,-0.13452,0.21967,-0.08555,0.09085,-0.16893,0.16348,-0.15439,0.19832,-0.11966,0.21735,-0.08801,0.0,0.0,-0.07364,0.02434,-0.14345,0.02795,-0.18937,0.04472,-0.22839,0.0551,-0.16109,-0.10291,-0.22551,-0.10284,-0.24404,-0.03991,-0.23831,0.01668,-0.14878,-0.12558,-0.23061,-0.11728,-0.24829,-0.04315,-0.23862,0.01716,-0.13173,-0.13922,-0.21474,-0.12421,-0.23772,-0.04715,-0.2344,0.01569,-0.11205,-0.14076,-0.18326,-0.12156,-0.21466,-0.07574,-0.22822,-0.03413,B
0.0,0.0,0.06661,0.01208,0.13511,0.00469,0.18632,0.00242,0.2113,-0.03287,0.11859,-0.16838,0.17985,-0.17937,0.20649,-0.12747,0.21168,-0.08042,0.10325,-0.18731,0.18361,-0.19269,0.20932,-0.13352,0.21114,-0.08391,0.09195,-0.18825,0.17358,-0.18801,0.20303,-0.13134,0.21028,-0.0824,0.08451,-0.16656,0.15652,-0.15163,0.19217,-0.11783,0.21299,-0.08612,0.0,0.0,-0.0798,0.02345,-0.14978,0.02222,-0.1944,0.03733,-0.23331,0.04076,-0.15993,-0.11255,-0.22949,-0.11134,-0.24499,-0.04071,-0.23524,0.01966,-0.14675,-0.13487,-0.2339,-0.1186,-0.24608,-0.03213,-0.23121,0.02977,-0.1306,-0.14783,-0.21921,-0.12715,-0.23924,-0.03868,-0.2312,0.02877,-0.11307,-0.1484,-0.18776,-0.12896,-0.21929,-0.07568,-0.22885,-0.02625,B
0.0,0.0,0.06737,0.011,0.13433,0.00793,0.18426,0.0129,0.21252,-0.01462,0.11595,-0.17329,0.181,-0.17931,0.20728,-0.12625,0.21365,-0.07981,0.10078,-0.191,0.18555,-0.19163,0.21082,-0.13209,0.21296,-0.08164,0.09036,-0.19108,0.17509,-0.18436,0.20504,-0.12649,0.21275,-0.07565,0.08383,-0.16867,0.15624,-0.14814,0.19274,-0.11289,0.2147,-0.08019,0.0,0.0,-0.07762,0.02398,-0.14345,0.01905,-0.18554,0.03045,-0.2227,0.03949,-0.16463,-0.1032,-0.23117,-0.11241,-0.24839,-0.04721,-0.24003,0.00914,-0.15172,-0.12706,-0.23321,-0.1255,-0.24962,-0.04671,-0.23971,0.01342,-0.13525,-0.14203,-0.21648,-0.13184,-0.24034,-0.04621,-0.23725,0.02065,-0.11686,-0.14517,-0.18746,-0.13148,-0.22205,-0.08112,-0.23744,-0.03387,B
0.0,0.0,0.06389,0.01209,0.13193,0.00744,0.18187,0.01394,0.21166,-0.00458,0.12146,-0.1542,0.1802,-0.15774,0.2066,-0.11057,0.21531,-0.06856,0.10738,-0.17669,0.18522,-0.18595,0.2105,-0.13262,0.21397,-0.08528,0.0958,-0.18418,0.17419,-0.19086,0.2051,-0.13729,0.21523,-0.08832,0.08661,-0.17067,0.15547,-0.15465,0.19097,-0.11937,0.21318,-0.08622,0.0,0.0,-0.0775,0.02377,-0.14576,0.02359,-0.19127,0.03466,-0.23282,0.03819,-0.16957,-0.09044,-0.23339,-0.10158,-0.25321,-0.04354,-0.25094,0.00873,-0.15743,-0.11517,-0.23561,-0.12237,-0.25685,-0.05415,-0.25291,0.00337,-0.14014,-0.13423,-0.2182,-0.1341,-0.24547,-0.05978,-0.24794,0.00244,-0.11934,-0.14406,-0.18919,-0.13713,-0.2251,-0.09094,-0.24248,-0.04468,B
0.0,0.0,0.06573,0.01479,0.133,0.01205,0.18223,0.01229,0.21485,-0.00899,0.12176,-0.14534,0.18127,-0.14441,0.20724,-0.0981,0.21563,-0.06027,0.10909,-0.16976,0.18837,-0.17392,0.21295,-0.11756,0.21517,-0.07011,0.09809,-0.1807,0.17938,-0.18649,0.20856,-0.12938,0.21521,-0.07833,0.08787,-0.17299,0.15917,-0.15568,0.19522,-0.11858,0.21665,-0.0846,0.0,0.0,-0.07539,0.02362,-0.1458,0.02509,-0.19399,0.03712,-0.23643,0.03066,-0.16563,-0.10131,-0.23376,-0.11549,-0.25526,-0.05656,-0.25415,0.00022,-0.15127,-0.12344,-0.23487,-0.12724,-0.25472,-0.05668,-0.24875,0.00125,-0.13211,-0.14013,-0.21319,-0.13752,-0.23978,-0.06074,-0.24127,0.00375,-0.10978,-0.14752,-0.1806,-0.13993,-0.21554,-0.09422,-0.23177,-0.04788,B
0.0,0.0,0.06476,0.01433,0.12795,0.00388,0.17263,0.00036,0.20637,-0.01322,0.12306,-0.14505,0.17714,-0.16131,0.20655,-0.12189,0.21745,-0.08247,0.11117,-0.16894,0.1828,-0.187,0.21182,-0.13361,0.21656,-0.08408,0.10007,-0.18024,0.17485,-0.19604,0.20673,-0.13974,0.21458,-0.08714,0.08847,-0.17606,0.15509,-0.16328,0.19036,-0.12546,0.21065,-0.08956,0.0,0.0,-0.07805,0.01628,-0.14381,0.01626,-0.19007,0.0236,-0.23022,0.01422,-0.15843,-0.09678,-0.2197,-0.11079,-0.24372,-0.06521,-0.24895,-0.01801,-0.14645,-0.11839,-0.22023,-0.13401,-0.24415,-0.07853,-0.24518,-0.02456,-0.12942,-0.13619,-0.20255,-0.14499,-0.2331,-0.08176,-0.24082,-0.02225,-0.10908,-0.14622,-0.17474,-0.14568,-0.21072,-0.10833,-0.23074,-0.0667,B
