x0,y0,x2,y1,x4,y2,x6,y3,x8,y4,x10,y5,x12,y6,x14,y7,x16,y8,x18,y9,x20,y10,x22,y11,x24,y12,x26,y13,x28,y14,x30,y15,x32,y16,x34,y17,x36,y18,x38,y19,x40,y20,x0,y0,x2,y1,x4,y2,x6,y3,x8,y4,x10,y5,x12,y6,x14,y7,x16,y8,x18,y9,x20,y10,x22,y11,x24,y12,x26,y13,x28,y14,x30,y15,x32,y16,x34,y17,x36,y18,x38,y19,x40,y20,label
0.0,0.0,-0.02227,-0.05159,-0.0693,-0.11717,-0.11982,-0.14971,-0.15958,-0.1432,-0.09454,-0.17372,-0.18178,-0.17186,-0.17532,-0.14619,-0.15506,-0.14537,-0.10467,-0.14488,-0.1957,-0.12619,-0.17408,-0.0926,-0.14282,-0.09163,-0.11392,-0.0981,-0.20303,-0.09333,-0.18518,-0.06028,-0.15653,-0.06046,-0.12072,-0.04534,-0.19594,-0.02407,-0.21824,-0.00153,-0.22599,0.00177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,D
0.0,0.0,-0.06871,-0.00018,-0.14462,-0.03697,-0.19952,-0.04602,-0.24968,-0.03714,-0.12029,-0.19736,-0.187,-0.21961,-0.23539,-0.2323,-0.27855,-0.24482,-0.10104,-0.21529,-0.18717,-0.15744,-0.15558,-0.09885,-0.12295,-0.10224,-0.08252,-0.20687,-0.16424,-0.1396,-0.133,-0.0849,-0.1043,-0.09694,-0.06605,-0.18154,-0.13168,-0.11455,-0.10868,-0.07025,-0.08088,-0.07783,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,D
0.0,0.0,0.04832,-0.01831,0.08799,-0.04658,0.12494,-0.05462,0.16863,-0.04829,0.05522,-0.17984,0.06211,-0.27432,0.06572,-0.34383,0.06417,-0.40184,0.02216,-0.17446,0.10817,-0.15401,0.11268,-0.09973,0.09125,-0.08088,-0.00628,-0.13906,0.07714,-0.09732,0.07749,-0.05033,0.05784,-0.04,-0.0295,-0.08908,0.03604,-0.06221,0.04384,-0.02652,0.03118,-0.01509,0.0,0.0,-0.08381,0.00105,-0.15496,-0.03216,-0.207,-0.04783,-0.25697,-0.05069,-0.13469,-0.19938,-0.20766,-0.22557,-0.25999,-0.23002,-0.30143,-0.22492,-0.11401,-0.21977,-0.20647,-0.14673,-0.17619,-0.08545,-0.1424,-0.08826,-0.09558,-0.21161,-0.18304,-0.12941,-0.15077,-0.07738,-0.11963,-0.08686,-0.08116,-0.18557,-0.15225,-0.11196,-0.13288,-0.06711,-0.1068,-0.06884,D
0.0,0.0,0.06565,-0.00813,0.11666,-0.0448,0.15488,-0.07235,0.19936,-0.09056,0.09318,-0.21046,0.10696,-0.30269,0.11959,-0.37278,0.12416,-0.438,0.05411,-0.21196,0.15718,-0.20373,0.1537,-0.12499,0.11611,-0.09427,0.02203,-0.18128,0.12104,-0.14815,0.11729,-0.08028,0.08675,-0.06438,-0.00395,-0.13181,0.07454,-0.11065,0.07959,-0.0595,0.05868,-0.0394,0.0,0.0,-0.09242,0.00153,-0.16914,-0.03248,-0.22891,-0.03579,-0.28637,-0.02448,-0.16346,-0.1908,-0.23351,-0.22139,-0.28016,-0.23168,-0.31862,-0.23956,-0.14307,-0.2152,-0.22479,-0.14942,-0.18755,-0.08888,-0.1506,-0.09474,-0.11856,-0.21458,-0.19455,-0.13681,-0.15639,-0.08041,-0.12524,-0.09117,-0.09282,-0.19517,-0.15537,-0.12905,-0.12997,-0.08594,-0.10217,-0.09214,D
0.0,0.0,0.06922,-0.01276,0.12046,-0.05492,0.15922,-0.09137,0.20609,-0.11549,0.09978,-0.22941,0.10765,-0.33303,0.11332,-0.4088,0.11389,-0.47383,0.06303,-0.23234,0.1668,-0.22415,0.16049,-0.13725,0.12724,-0.10364,0.0318,-0.20576,0.129,-0.16798,0.11789,-0.09106,0.08754,-0.07071,0.00411,-0.15967,0.08016,-0.13108,0.08158,-0.07256,0.06111,-0.05201,0.0,0.0,-0.1035,0.00156,-0.1799,-0.02545,-0.23701,-0.02719,-0.29474,-0.01808,-0.16698,-0.17856,-0.24509,-0.21239,-0.28445,-0.21355,-0.3117,-0.21935,-0.14603,-0.19968,-0.23006,-0.1441,-0.19153,-0.08511,-0.15391,-0.09683,-0.12557,-0.19871,-0.20694,-0.13438,-0.16584,-0.08062,-0.13086,-0.0975,-0.10928,-0.18444,-0.17135,-0.12313,-0.14378,-0.0788,-0.11272,-0.08817,D
0.0,0.0,0.07267,-0.02123,0.12278,-0.07057,0.16318,-0.11182,0.20927,-0.14423,0.09765,-0.25267,0.10847,-0.35414,0.11645,-0.42896,0.11832,-0.49394,0.06031,-0.25339,0.16575,-0.25071,0.16125,-0.16233,0.1287,-0.12613,0.03041,-0.22562,0.13068,-0.1934,0.12092,-0.11742,0.09084,-0.0964,0.00553,-0.17794,0.08598,-0.15274,0.08638,-0.09737,0.06247,-0.07917,0.0,0.0,-0.10484,0.0022,-0.17887,-0.02502,-0.23395,-0.02848,-0.29248,-0.01923,-0.17159,-0.1709,-0.25216,-0.21387,-0.28823,-0.21298,-0.30902,-0.21213,-0.14902,-0.19227,-0.23248,-0.14658,-0.19375,-0.08602,-0.15572,-0.09446,-0.12747,-0.19454,-0.21067,-0.13747,-0.16926,-0.08116,-0.13453,-0.09774,-0.11052,-0.18501,-0.17576,-0.12744,-0.14566,-0.08284,-0.1133,-0.09545,D
0.0,0.0,0.07796,-0.02819,0.13299,-0.08226,0.17639,-0.12556,0.21898,-0.16661,0.10536,-0.26448,0.11973,-0.36412,0.12783,-0.43968,0.12895,-0.50458,0.06899,-0.2674,0.17654,-0.26811,0.17127,-0.17864,0.13757,-0.14223,0.04093,-0.24256,0.14163,-0.20935,0.13024,-0.13135,0.09872,-0.10829,0.01905,-0.19814,0.10075,-0.16602,0.09986,-0.10766,0.07524,-0.0877,0.0,0.0,-0.09755,0.006,-0.17313,-0.02572,-0.23082,-0.03271,-0.2872,-0.0265,-0.17365,-0.16959,-0.24466,-0.22214,-0.28759,-0.22358,-0.31596,-0.21503,-0.15003,-0.1966,-0.22834,-0.14955,-0.19341,-0.08915,-0.15755,-0.09011,-0.125,-0.20166,-0.20051,-0.13561,-0.16261,-0.08157,-0.13015,-0.0918,-0.10303,-0.19081,-0.16486,-0.12748,-0.13802,-0.08564,-0.10817,-0.09501,D
0.0,0.0,0.08724,-0.03004,0.1458,-0.08344,0.19122,-0.12366,0.2329,-0.16438,0.11988,-0.2631,0.13488,-0.35906,0.14117,-0.43287,0.14208,-0.49693,0.08489,-0.26886,0.18553,-0.25357,0.17797,-0.17021,0.1467,-0.13417,0.05696,-0.24454,0.15273,-0.2003,0.13894,-0.12755,0.11015,-0.10168,0.03493,-0.20158,0.11204,-0.16004,0.10882,-0.10476,0.08767,-0.08327,0.0,0.0,-0.09734,0.00512,-0.17053,-0.02492,-0.22803,-0.03135,-0.28663,-0.02537,-0.17312,-0.17073,-0.24386,-0.22272,-0.29158,-0.22235,-0.32664,-0.2102,-0.14914,-0.19697,-0.22982,-0.14768,-0.19415,-0.08629,-0.15799,-0.08499,-0.12471,-0.20174,-0.20109,-0.13393,-0.16247,-0.08078,-0.12968,-0.08962,-0.10303,-0.19076,-0.16487,-0.12747,-0.1384,-0.08571,-0.10888,-0.09361,D
0.0,0.0,0.08145,-0.02886,0.14008,-0.09097,0.18141,-0.1366,0.21766,-0.18017,0.11539,-0.26842,0.1255,-0.36818,0.13294,-0.44389,0.13641,-0.50956,0.08027,-0.27584,0.17897,-0.27151,0.1746,-0.18974,0.1439,-0.15097,0.05152,-0.25528,0.14453,-0.21419,0.13156,-0.14074,0.10245,-0.11731,0.02879,-0.21474,0.10688,-0.17321,0.10041,-0.11754,0.07464,-0.1009,0.0,0.0,-0.09103,0.00715,-0.16567,-0.02352,-0.22322,-0.02938,-0.28038,-0.02655,-0.16789,-0.17132,-0.24156,-0.22689,-0.28539,-0.225,-0.31348,-0.21066,-0.14387,-0.19632,-0.22134,-0.14643,-0.18709,-0.08689,-0.15139,-0.08437,-0.11956,-0.20089,-0.19417,-0.13349,-0.15736,-0.08135,-0.12567,-0.08802,-0.09769,-0.19053,-0.15762,-0.1297,-0.1322,-0.08827,-0.10411,-0.09434,D
0.0,0.0,0.07989,-0.02612,0.14083,-0.08932,0.18374,-0.13619,0.21573,-0.18396,0.11992,-0.2698,0.13089,-0.37031,0.13593,-0.44481,0.13682,-0.50841,0.08529,-0.27759,0.18157,-0.27445,0.17924,-0.19617,0.15079,-0.1595,0.0562,-0.25856,0.14766,-0.2209,0.13459,-0.14907,0.10579,-0.12702,0.03273,-0.2205,0.11015,-0.18138,0.10368,-0.12666,0.07834,-0.11004,0.0,0.0,-0.08806,0.0038,-0.16282,-0.02963,-0.22168,-0.03813,-0.27884,-0.03489,-0.16345,-0.17572,-0.23481,-0.2308,-0.28155,-0.23215,-0.31524,-0.22097,-0.13978,-0.20069,-0.22048,-0.15351,-0.18521,-0.09293,-0.14921,-0.08936,-0.11553,-0.2055,-0.19151,-0.14053,-0.1537,-0.08741,-0.12143,-0.09314,-0.09334,-0.19556,-0.15619,-0.13823,-0.13148,-0.09533,-0.10295,-0.09883,D
