x0,y0,x2,y1,x4,y2,x6,y3,x8,y4,x10,y5,x12,y6,x14,y7,x16,y8,x18,y9,x20,y10,x22,y11,x24,y12,x26,y13,x28,y14,x30,y15,x32,y16,x34,y17,x36,y18,x38,y19,x40,y20,x0,y0,x2,y1,x4,y2,x6,y3,x8,y4,x10,y5,x12,y6,x14,y7,x16,y8,x18,y9,x20,y10,x22,y11,x24,y12,x26,y13,x28,y14,x30,y15,x32,y16,x34,y17,x36,y18,x38,y19,x40,y20,label
0.0,0.0,0.00531,-0.06471,0.03962,-0.12286,0.07082,-0.16838,0.09092,-0.21149,0.10379,-0.0737,0.15989,-0.07378,0.20282,-0.06918,0.23879,-0.06259,0.11045,-0.03704,0.16895,-0.03806,0.21266,-0.03588,0.25116,-0.02955,0.10659,-0.00475,0.16181,-0.00336,0.20387,0.00097,0.24025,0.0089,0.09592,0.02165,0.13869,0.02488,0.16902,0.02722,0.19603,0.0307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,H
0.0,0.0,0.00523,-0.07474,0.0428,-0.14416,0.07772,-0.19313,0.09985,-0.23771,0.09986,-0.09553,0.15424,-0.1079,0.19076,-0.11329,0.22089,-0.11668,0.1108,-0.05266,0.16883,-0.0583,0.21062,-0.05882,0.24748,-0.05604,0.11309,-0.01469,0.17084,-0.02024,0.21228,-0.01904,0.24792,-0.01544,0.11004,0.01898,0.15915,0.01813,0.19586,0.0183,0.22943,0.02002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,H
0.0,0.0,0.01602,-0.09207,0.0667,-0.17111,0.10951,-0.22766,0.13288,-0.27789,0.1538,-0.12225,0.22546,-0.13737,0.26892,-0.146,0.30053,-0.15336,0.16789,-0.06775,0.23987,-0.08102,0.2837,-0.09093,0.31643,-0.09808,0.16932,-0.01588,0.23681,-0.0288,0.27526,-0.03764,0.30374,-0.04427,0.16208,0.03042,0.2177,0.02308,0.24998,0.01337,0.27482,0.00496,0.0,0.0,0.00992,-0.0854,0.05306,-0.16098,0.09328,-0.20791,0.11761,-0.25255,0.10343,-0.09858,0.15752,-0.12092,0.19241,-0.1365,0.22227,-0.15175,0.11596,-0.04458,0.17884,-0.05403,0.22459,-0.06,0.26332,-0.06423,0.11777,0.00076,0.18125,-0.00451,0.22778,-0.00373,0.26595,-0.00357,0.11295,0.03929,0.16838,0.04086,0.20865,0.04029,0.24391,0.03937,H
0.0,0.0,0.01125,-0.08572,0.05859,-0.16223,0.10126,-0.21284,0.12719,-0.25931,0.12122,-0.11551,0.17775,-0.12588,0.2147,-0.12574,0.24318,-0.12329,0.13302,-0.06618,0.19339,-0.07292,0.23411,-0.07163,0.26768,-0.06726,0.13636,-0.01833,0.19656,-0.02653,0.23565,-0.02626,0.26786,-0.02443,0.13405,0.0275,0.18713,0.02212,0.22219,0.01836,0.25299,0.01512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,H
0.0,0.0,0.01717,-0.07918,0.06547,-0.15189,0.10757,-0.20055,0.13515,-0.24502,0.1205,-0.09718,0.17716,-0.10838,0.21459,-0.11197,0.24387,-0.11411,0.13113,-0.04834,0.19142,-0.05603,0.23132,-0.0591,0.26458,-0.06021,0.13411,-0.00239,0.19382,-0.00784,0.23375,-0.01017,0.26752,-0.01239,0.13092,0.04117,0.18255,0.04211,0.21797,0.04114,0.24956,0.03897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,H
0.0,0.0,0.0114,-0.08104,0.05615,-0.15148,0.09817,-0.19967,0.12457,-0.24622,0.12204,-0.09737,0.17696,-0.10886,0.20962,-0.1213,0.23325,-0.13542,0.13292,-0.04754,0.18901,-0.05788,0.22542,-0.06775,0.25398,-0.07623,0.13584,-0.00178,0.19125,-0.01288,0.22743,-0.02095,0.25626,-0.02741,0.13378,0.03986,0.18295,0.03166,0.21583,0.02438,0.2439,0.01869,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,H
0.0,0.0,0.01382,-0.07891,0.06153,-0.15096,0.1052,-0.1988,0.1339,-0.24383,0.11419,-0.09411,0.17313,-0.11196,0.21075,-0.12409,0.23988,-0.136,0.12571,-0.04359,0.18651,-0.05647,0.22457,-0.0674,0.25576,-0.07645,0.12958,0.00261,0.18774,-0.00844,0.22503,-0.01745,0.25571,-0.02501,0.12777,0.04311,0.17745,0.03539,0.21018,0.02758,0.23848,0.02029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,H
0.0,0.0,0.01854,-0.0824,0.06677,-0.15244,0.1107,-0.19571,0.1367,-0.23857,0.13898,-0.09187,0.21146,-0.09374,0.25995,-0.1021,0.296,-0.11203,0.14656,-0.04324,0.22039,-0.04684,0.2686,-0.061,0.30637,-0.07699,0.14584,0.00211,0.21349,-0.00288,0.25656,-0.01318,0.2887,-0.02355,0.13854,0.0432,0.19371,0.0408,0.22878,0.03417,0.25605,0.02675,0.0,0.0,-0.05184,-0.01458,-0.10035,-0.07648,-0.13193,-0.13346,-0.1633,-0.17703,-0.07978,-0.18045,-0.09885,-0.24812,-0.11128,-0.29195,-0.12109,-0.32789,-0.0449,-0.19493,-0.05799,-0.27056,-0.06818,-0.31766,-0.0778,-0.35762,-0.00907,-0.19531,-0.01899,-0.26781,-0.02833,-0.31639,-0.03672,-0.35776,0.02794,-0.18208,0.02274,-0.24716,0.01354,-0.28143,0.00463,-0.30686,H
0.0,0.0,0.01839,-0.08274,0.06398,-0.14757,0.10586,-0.19292,0.13381,-0.23739,0.14626,-0.08943,0.21779,-0.0922,0.2663,-0.09831,0.30354,-0.1054,0.15394,-0.03923,0.22486,-0.04372,0.27268,-0.0576,0.31103,-0.07152,0.15087,0.00656,0.21561,0.00174,0.25732,-0.01128,0.28921,-0.02365,0.14,0.04705,0.19229,0.04545,0.22475,0.03677,0.2508,0.02627,0.0,0.0,-0.0552,-0.01522,-0.10567,-0.07898,-0.13739,-0.13825,-0.16848,-0.1831,-0.07886,-0.18928,-0.09631,-0.25673,-0.10747,-0.3036,-0.11482,-0.3428,-0.04538,-0.20088,-0.06016,-0.27444,-0.07053,-0.32336,-0.07815,-0.3652,-0.01128,-0.19886,-0.02103,-0.27039,-0.02794,-0.31891,-0.03317,-0.3615,0.0243,-0.18257,0.0216,-0.24424,0.0183,-0.28092,0.01517,-0.31219,H
0.0,0.0,0.02112,-0.08832,0.06661,-0.14953,0.10761,-0.18726,0.13675,-0.22213,0.15013,-0.09015,0.22226,-0.09733,0.26654,-0.10416,0.29924,-0.11112,0.15861,-0.04201,0.23274,-0.05079,0.27911,-0.06244,0.31304,-0.07057,0.15608,0.00245,0.22395,-0.00936,0.26389,-0.01918,0.29172,-0.02682,0.14598,0.04238,0.19808,0.03508,0.2274,0.02631,0.24845,0.01654,0.0,0.0,-0.05921,-0.04754,-0.10093,-0.10895,-0.12913,-0.16572,-0.15368,-0.21543,-0.07023,-0.2034,-0.0835,-0.26032,-0.09116,-0.29855,-0.09588,-0.33243,-0.04259,-0.21405,-0.05034,-0.27689,-0.05562,-0.31687,-0.05723,-0.34859,-0.01557,-0.21483,-0.0185,-0.27467,-0.02381,-0.31893,-0.02608,-0.35499,0.01157,-0.20109,0.00978,-0.25477,0.00993,-0.28823,0.01244,-0.31524,H
0.0,0.0,0.02329,-0.08454,0.06878,-0.14164,0.11179,-0.18661,0.14053,-0.2254,0.14888,-0.08147,0.22164,-0.08429,0.26585,-0.08967,0.29857,-0.09459,0.15656,-0.03443,0.2323,-0.04259,0.27704,-0.05422,0.31121,-0.06354,0.15401,0.00846,0.22259,-0.00404,0.26389,-0.01677,0.29384,-0.02821,0.14483,0.04475,0.19788,0.03489,0.22925,0.024,0.25376,0.01219,0.0,0.0,-0.05253,-0.02664,-0.09502,-0.08701,-0.12169,-0.14299,-0.14767,-0.18974,-0.06906,-0.18869,-0.08028,-0.25836,-0.08886,-0.30585,-0.09621,-0.34753,-0.04001,-0.19857,-0.04755,-0.2734,-0.05506,-0.32537,-0.06105,-0.37173,-0.01139,-0.19675,-0.01474,-0.26804,-0.01789,-0.31982,-0.02047,-0.36603,0.01851,-0.18233,0.01845,-0.24336,0.01697,-0.28259,0.01542,-0.31643,H
0.0,0.0,0.02225,-0.08267,0.06987,-0.14456,0.11115,-0.19211,0.13491,-0.23411,0.15136,-0.08583,0.22034,-0.09065,0.26224,-0.096,0.29341,-0.10172,0.15947,-0.03951,0.23022,-0.0484,0.27222,-0.05979,0.3047,-0.06838,0.15728,0.0023,0.22187,-0.01106,0.26001,-0.02342,0.2879,-0.0342,0.148,0.03885,0.19951,0.02858,0.22916,0.01785,0.25177,0.00622,0.0,0.0,-0.05093,-0.01935,-0.09171,-0.0771,-0.11603,-0.13072,-0.13843,-0.17801,-0.06902,-0.1806,-0.08108,-0.25098,-0.08946,-0.29936,-0.09467,-0.34157,-0.03928,-0.19338,-0.04585,-0.27213,-0.05161,-0.32678,-0.05538,-0.37567,-0.00982,-0.19354,-0.01202,-0.2698,-0.01268,-0.32326,-0.01311,-0.37132,0.02003,-0.17939,0.02321,-0.24108,0.02683,-0.28065,0.03009,-0.31444,H
0.0,0.0,0.02279,-0.08124,0.06768,-0.14143,0.10691,-0.18706,0.13107,-0.2263,0.14765,-0.0838,0.21544,-0.08938,0.25689,-0.09469,0.28756,-0.09909,0.1567,-0.03793,0.22713,-0.04709,0.27011,-0.05878,0.30347,-0.06684,0.1557,0.00273,0.22088,-0.0113,0.26036,-0.02435,0.29001,-0.03541,0.14705,0.03811,0.19813,0.02936,0.22694,0.01982,0.249,0.00926,0.0,0.0,-0.0502,-0.0204,-0.0907,-0.07714,-0.11388,-0.13076,-0.13489,-0.18038,-0.06574,-0.18092,-0.07651,-0.25093,-0.08384,-0.30017,-0.08897,-0.34374,-0.03633,-0.19121,-0.04426,-0.26631,-0.05105,-0.31799,-0.05606,-0.36559,-0.00771,-0.19052,-0.01054,-0.26103,-0.0145,-0.31266,-0.01867,-0.35996,0.0223,-0.17876,0.02162,-0.24198,0.01915,-0.28276,0.01553,-0.31885,H
0.0,0.0,0.02764,-0.0766,0.06902,-0.12915,0.10814,-0.17157,0.13369,-0.20809,0.13775,-0.0762,0.20773,-0.07928,0.24702,-0.08154,0.27687,-0.0828,0.14461,-0.03092,0.21955,-0.03751,0.26245,-0.04422,0.29363,-0.04809,0.14226,0.01056,0.20995,-0.00153,0.24892,-0.01047,0.27544,-0.01839,0.13375,0.04669,0.18441,0.03919,0.21351,0.03174,0.23512,0.02414,0.0,0.0,-0.05003,-0.01825,-0.09193,-0.07768,-0.11558,-0.13465,-0.13743,-0.18161,-0.06754,-0.17315,-0.07755,-0.24118,-0.08376,-0.28913,-0.0883,-0.33039,-0.03897,-0.18569,-0.04447,-0.25847,-0.04939,-0.30909,-0.05259,-0.35456,-0.01175,-0.18661,-0.013,-0.25586,-0.01333,-0.30672,-0.01327,-0.35201,0.01597,-0.17594,0.01524,-0.24,0.01498,-0.28007,0.01459,-0.31445,H
0.0,0.0,0.0233,-0.079,0.06294,-0.12897,0.10287,-0.1697,0.12746,-0.20758,0.13514,-0.07373,0.20416,-0.07264,0.2442,-0.07436,0.27399,-0.0754,0.1435,-0.02667,0.21665,-0.03218,0.25826,-0.03898,0.28848,-0.04277,0.14173,0.01401,0.20688,0.00171,0.24441,-0.00666,0.27015,-0.01308,0.13322,0.04818,0.18318,0.04135,0.20959,0.03578,0.22851,0.02961,0.0,0.0,-0.04988,-0.01631,-0.09049,-0.07498,-0.1136,-0.13062,-0.13669,-0.17678,-0.07055,-0.1641,-0.08525,-0.22886,-0.0948,-0.27416,-0.10154,-0.31347,-0.0412,-0.17922,-0.05175,-0.24824,-0.05995,-0.29384,-0.06614,-0.33668,-0.01264,-0.18257,-0.01602,-0.24754,-0.01931,-0.2932,-0.02269,-0.33713,0.01708,-0.17474,0.01535,-0.23598,0.01428,-0.27347,0.01291,-0.30696,H
0.0,0.0,0.02326,-0.07684,0.06353,-0.1258,0.10322,-0.16405,0.12855,-0.19972,0.13369,-0.06909,0.20258,-0.07132,0.24179,-0.07521,0.27101,-0.07703,0.14012,-0.02331,0.2138,-0.03194,0.25527,-0.04016,0.28542,-0.04331,0.1366,0.01586,0.20346,0.00364,0.24122,-0.00494,0.26757,-0.01124,0.12715,0.04802,0.17866,0.04194,0.20649,0.0375,0.22733,0.03223,0.0,0.0,-0.0486,-0.01975,-0.08711,-0.07779,-0.10951,-0.13257,-0.13173,-0.17923,-0.06878,-0.16363,-0.08196,-0.22795,-0.08919,-0.27278,-0.09438,-0.31195,-0.04004,-0.17693,-0.04937,-0.24513,-0.05532,-0.28905,-0.05991,-0.33069,-0.01182,-0.17984,-0.01568,-0.24348,-0.01825,-0.28933,-0.02117,-0.33321,0.0175,-0.17215,0.0162,-0.23183,0.01544,-0.26906,0.01386,-0.30206,H
