x0,y0,x2,y1,x4,y2,x6,y3,x8,y4,x10,y5,x12,y6,x14,y7,x16,y8,x18,y9,x20,y10,x22,y11,x24,y12,x26,y13,x28,y14,x30,y15,x32,y16,x34,y17,x36,y18,x38,y19,x40,y20,x0,y0,x2,y1,x4,y2,x6,y3,x8,y4,x10,y5,x12,y6,x14,y7,x16,y8,x18,y9,x20,y10,x22,y11,x24,y12,x26,y13,x28,y14,x30,y15,x32,y16,x34,y17,x36,y18,x38,y19,x40,y20,label
0.0,0.0,-0.00973,-0.06993,-0.05919,-0.10321,-0.10339,-0.08459,-0.13507,-0.0523,-0.06774,-0.13454,-0.11494,-0.19558,-0.14366,-0.23615,-0.16391,-0.2684,-0.07227,-0.09619,-0.13067,-0.07308,-0.11812,-0.05527,-0.09847,-0.05545,-0.07264,-0.03965,-0.11969,-0.00143,-0.0972,0.00649,-0.07321,-0.00078,-0.06926,0.01802,-0.10484,0.04772,-0.08349,0.0489,-0.06318,0.04026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,I
0.0,0.0,-0.00346,-0.06815,-0.05058,-0.11438,-0.09552,-0.11837,-0.12372,-0.09565,-0.07834,-0.16092,-0.12745,-0.2158,-0.15702,-0.26755,-0.17549,-0.30791,-0.07142,-0.13872,-0.14551,-0.08716,-0.12872,-0.06071,-0.10049,-0.06272,-0.06475,-0.09011,-0.12973,-0.03601,-0.11178,-0.01971,-0.08532,-0.02645,-0.06027,-0.03777,-0.11448,0.00591,-0.09319,0.01864,-0.06904,0.01249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,I
0.0,0.0,-0.02621,-0.06564,-0.07544,-0.11415,-0.12125,-0.11659,-0.14962,-0.10514,-0.10072,-0.17101,-0.15421,-0.22396,-0.18494,-0.27733,-0.2072,-0.32215,-0.08998,-0.14678,-0.16337,-0.08336,-0.14153,-0.05604,-0.11095,-0.06282,-0.07647,-0.09591,-0.14234,-0.02925,-0.11938,-0.01366,-0.09214,-0.02734,-0.0614,-0.03836,-0.11524,0.01527,-0.09229,0.02428,-0.06752,0.01018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,I
0.0,0.0,-0.02792,-0.06788,-0.07695,-0.11409,-0.12066,-0.10698,-0.14772,-0.08762,-0.10148,-0.17795,-0.15116,-0.24334,-0.18389,-0.29486,-0.20848,-0.33843,-0.09115,-0.15311,-0.16582,-0.09264,-0.14711,-0.06004,-0.11717,-0.06367,-0.07902,-0.10401,-0.1431,-0.03795,-0.12205,-0.02057,-0.09715,-0.03437,-0.06691,-0.05038,-0.11757,0.00229,-0.09688,0.01336,-0.07476,-0.00035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,I
0.0,0.0,-0.03218,-0.06206,-0.07868,-0.11431,-0.11497,-0.12449,-0.13879,-0.12073,-0.10071,-0.18293,-0.15312,-0.24892,-0.1858,-0.30139,-0.21088,-0.34475,-0.08693,-0.16406,-0.16239,-0.10144,-0.14376,-0.06815,-0.11452,-0.07091,-0.07373,-0.11932,-0.14206,-0.05343,-0.12206,-0.03221,-0.09731,-0.043,-0.06124,-0.06865,-0.11661,-0.01594,-0.09807,-0.00129,-0.07671,-0.01194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,I
0.0,0.0,-0.03214,-0.06141,-0.08094,-0.11153,-0.12187,-0.12001,-0.15075,-0.11452,-0.10486,-0.18311,-0.16085,-0.24997,-0.19485,-0.30379,-0.22077,-0.34835,-0.09526,-0.1633,-0.17509,-0.10478,-0.15611,-0.07002,-0.12621,-0.07068,-0.08507,-0.11796,-0.15393,-0.05368,-0.13277,-0.03074,-0.10734,-0.03985,-0.07455,-0.06594,-0.12698,-0.01534,-0.10743,0.00283,-0.086,-0.00503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,I
0.0,0.0,-0.03968,-0.0597,-0.09276,-0.11528,-0.13498,-0.12942,-0.16865,-0.12576,-0.11273,-0.19497,-0.1691,-0.2589,-0.20285,-0.31333,-0.22895,-0.362,-0.09906,-0.18003,-0.17963,-0.11267,-0.15823,-0.07678,-0.12728,-0.08053,-0.08503,-0.13547,-0.15787,-0.06115,-0.13499,-0.03602,-0.10872,-0.0477,-0.07085,-0.08198,-0.12819,-0.01738,-0.10683,0.00148,-0.0843,-0.01037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,I
0.0,0.0,-0.04031,-0.06045,-0.09255,-0.11987,-0.13443,-0.13734,-0.16912,-0.13274,-0.1202,-0.20002,-0.17636,-0.26365,-0.21079,-0.31776,-0.23757,-0.36462,-0.1056,-0.18787,-0.18809,-0.11985,-0.16812,-0.08197,-0.13857,-0.08491,-0.09071,-0.14354,-0.16731,-0.07057,-0.14437,-0.0444,-0.11813,-0.05711,-0.07573,-0.09034,-0.13631,-0.02689,-0.1167,-0.0065,-0.09458,-0.01684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,I
0.0,0.0,-0.04652,-0.05778,-0.10166,-0.1176,-0.14637,-0.13855,-0.18432,-0.14035,-0.12168,-0.2049,-0.18165,-0.26686,-0.21843,-0.31737,-0.2467,-0.3628,-0.10763,-0.19178,-0.19419,-0.12393,-0.175,-0.08356,-0.14486,-0.08555,-0.09453,-0.14787,-0.17391,-0.07083,-0.15133,-0.04227,-0.12463,-0.05519,-0.08218,-0.09465,-0.14398,-0.02737,-0.1247,-0.00501,-0.10239,-0.01647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,I
0.0,0.0,-0.04451,-0.06306,-0.10206,-0.12588,-0.15009,-0.14185,-0.18884,-0.13748,-0.12589,-0.20729,-0.18658,-0.27025,-0.22318,-0.32098,-0.25116,-0.36614,-0.11457,-0.19075,-0.19931,-0.1236,-0.1802,-0.08451,-0.15059,-0.08495,-0.10209,-0.14498,-0.17719,-0.06945,-0.15346,-0.04199,-0.12734,-0.05194,-0.08954,-0.08993,-0.1453,-0.02559,-0.12493,-0.00406,-0.10359,-0.01254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,I
