x0,y0,x2,y1,x4,y2,x6,y3,x8,y4,x10,y5,x12,y6,x14,y7,x16,y8,x18,y9,x20,y10,x22,y11,x24,y12,x26,y13,x28,y14,x30,y15,x32,y16,x34,y17,x36,y18,x38,y19,x40,y20,x0,y0,x2,y1,x4,y2,x6,y3,x8,y4,x10,y5,x12,y6,x14,y7,x16,y8,x18,y9,x20,y10,x22,y11,x24,y12,x26,y13,x28,y14,x30,y15,x32,y16,x34,y17,x36,y18,x38,y19,x40,y20,label
0.0,0.0,0.04949,-0.02141,0.09928,0.01077,0.13457,0.05281,0.16276,0.08137,0.1143,0.06638,0.15426,0.10824,0.17828,0.13436,0.19567,0.15346,0.09782,0.09723,0.13729,0.13846,0.16046,0.15992,0.18109,0.18128,0.07931,0.11869,0.11531,0.15839,0.13577,0.17875,0.15284,0.20051,0.06108,0.13317,0.09051,0.17028,0.10806,0.19135,0.12249,0.21021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,O
0.0,0.0,0.05127,-0.01556,0.10014,0.01651,0.13342,0.05841,0.15925,0.08908,0.10979,0.05824,0.14967,0.10116,0.17137,0.13067,0.18684,0.15274,0.09116,0.09001,0.12885,0.1327,0.15115,0.15869,0.16906,0.18013,0.06981,0.11419,0.10316,0.1556,0.12385,0.18085,0.14026,0.20263,0.04815,0.13073,0.07466,0.16743,0.09173,0.19007,0.10579,0.20818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,O
0.0,0.0,-0.03944,0.02167,-0.0944,-0.00039,-0.13168,-0.02649,-0.15201,-0.05071,-0.07919,-0.12275,-0.12706,-0.13195,-0.15953,-0.09961,-0.17149,-0.06182,-0.06819,-0.15087,-0.12278,-0.1576,-0.15621,-0.12199,-0.16981,-0.07657,-0.05726,-0.16717,-0.11682,-0.17259,-0.15274,-0.13314,-0.16768,-0.08792,-0.04764,-0.16862,-0.10447,-0.16885,-0.13832,-0.13827,-0.15471,-0.0971,0.0,0.0,0.05244,-0.01839,0.10045,0.0152,0.13138,0.06132,0.15527,0.09324,0.10514,0.06509,0.14352,0.11072,0.16462,0.1403,0.17975,0.16361,0.08143,0.09706,0.11822,0.14078,0.13999,0.16784,0.15642,0.19011,0.05527,0.11923,0.08652,0.16212,0.10799,0.1895,0.1246,0.21248,0.02919,0.13111,0.05348,0.1685,0.0713,0.19206,0.08583,0.20963,O
0.0,0.0,-0.04756,0.01558,-0.10016,-0.01244,-0.13716,-0.03735,-0.15965,-0.06763,-0.07473,-0.134,-0.11475,-0.1682,-0.15147,-0.1446,-0.16774,-0.10654,-0.06072,-0.15417,-0.1133,-0.18719,-0.15109,-0.15707,-0.1664,-0.11381,-0.04717,-0.16407,-0.10868,-0.19837,-0.15011,-0.15966,-0.16668,-0.11358,-0.03691,-0.15984,-0.09856,-0.17959,-0.13595,-0.14918,-0.15344,-0.10606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,O
0.0,0.0,-0.0605,0.01989,-0.11611,-0.00357,-0.15812,-0.02614,-0.18632,-0.05479,-0.07561,-0.14129,-0.13914,-0.17958,-0.1771,-0.13915,-0.18614,-0.09051,-0.05853,-0.1631,-0.13491,-0.19752,-0.17389,-0.14868,-0.18094,-0.09901,-0.04905,-0.17071,-0.12856,-0.20715,-0.16976,-0.15755,-0.17857,-0.10771,-0.04931,-0.16235,-0.11742,-0.19257,-0.15713,-0.16038,-0.17115,-0.1173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,O
0.0,0.0,-0.06898,0.01598,-0.11944,-0.00653,-0.1587,-0.02451,-0.18691,-0.05823,-0.0861,-0.15526,-0.14907,-0.19304,-0.18355,-0.15255,-0.19019,-0.09894,-0.06802,-0.17715,-0.14908,-0.2097,-0.18428,-0.15498,-0.18543,-0.09791,-0.05558,-0.18455,-0.14048,-0.22418,-0.17905,-0.16728,-0.18207,-0.1091,-0.05393,-0.17449,-0.12519,-0.20434,-0.1639,-0.16884,-0.17549,-0.12067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,O
0.0,0.0,-0.07319,0.01205,-0.12823,-0.0119,-0.17025,-0.03455,-0.19375,-0.07005,-0.08973,-0.16879,-0.1503,-0.21251,-0.18644,-0.16574,-0.1961,-0.11179,-0.07449,-0.18748,-0.15253,-0.22895,-0.1909,-0.17081,-0.19618,-0.11652,-0.06483,-0.19086,-0.14525,-0.23284,-0.18433,-0.1745,-0.19136,-0.11709,-0.06482,-0.17547,-0.13341,-0.20482,-0.17152,-0.16708,-0.18574,-0.11831,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,O
0.0,0.0,-0.06923,0.0141,-0.13011,-0.01208,-0.17915,-0.03874,-0.20179,-0.07183,-0.09082,-0.17085,-0.16169,-0.21375,-0.19649,-0.16216,-0.20519,-0.10577,-0.07806,-0.18938,-0.16522,-0.22834,-0.20023,-0.1667,-0.20371,-0.11038,-0.07245,-0.19239,-0.15719,-0.22854,-0.1914,-0.16909,-0.19491,-0.11008,-0.07497,-0.18017,-0.14199,-0.21054,-0.17723,-0.17108,-0.18938,-0.11964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,O
0.0,0.0,-0.07759,0.00251,-0.1313,-0.02252,-0.17271,-0.04299,-0.19693,-0.07505,-0.0973,-0.17025,-0.16004,-0.21485,-0.19216,-0.16643,-0.19811,-0.11009,-0.08229,-0.18803,-0.16342,-0.22659,-0.19707,-0.16533,-0.19797,-0.10908,-0.07216,-0.19473,-0.15483,-0.23539,-0.19041,-0.17153,-0.19236,-0.11013,-0.07071,-0.18603,-0.14041,-0.22005,-0.17681,-0.1777,-0.18776,-0.12326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,O
0.0,0.0,-0.07716,-0.00241,-0.13026,-0.02699,-0.17222,-0.0475,-0.19597,-0.08017,-0.09946,-0.17071,-0.15705,-0.21678,-0.18776,-0.17228,-0.19396,-0.1192,-0.08485,-0.18831,-0.16066,-0.22909,-0.19372,-0.17197,-0.19581,-0.11723,-0.07356,-0.19624,-0.15061,-0.23787,-0.18635,-0.17872,-0.19063,-0.11946,-0.06872,-0.18966,-0.13437,-0.22379,-0.17023,-0.18447,-0.18265,-0.13205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,O
