x0,y0,x2,y1,x4,y2,x6,y3,x8,y4,x10,y5,x12,y6,x14,y7,x16,y8,x18,y9,x20,y10,x22,y11,x24,y12,x26,y13,x28,y14,x30,y15,x32,y16,x34,y17,x36,y18,x38,y19,x40,y20,x0,y0,x2,y1,x4,y2,x6,y3,x8,y4,x10,y5,x12,y6,x14,y7,x16,y8,x18,y9,x20,y10,x22,y11,x24,y12,x26,y13,x28,y14,x30,y15,x32,y16,x34,y17,x36,y18,x38,y19,x40,y20,label
0.0,0.0,0.0429,-0.02105,0.09394,-0.01485,0.12501,0.01601,0.13769,0.04879,0.10831,-0.0385,0.15122,-0.03099,0.17924,-0.02832,0.19966,-0.02945,0.08708,-0.01281,0.14253,0.07107,0.12147,0.07549,0.09813,0.05178,0.06097,0.0242,0.11183,0.10656,0.08994,0.10256,0.06993,0.07714,0.03276,0.06434,0.07515,0.12861,0.05801,0.11979,0.03866,0.09521,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,T
0.0,0.0,0.04602,-0.02784,0.09812,-0.02148,0.13116,0.00302,0.14441,0.03019,0.11396,-0.04664,0.16167,-0.04208,0.1935,-0.04343,0.21667,-0.04853,0.0954,-0.01857,0.15661,0.06828,0.13642,0.07397,0.1124,0.04761,0.07029,0.0207,0.13024,0.11112,0.11279,0.10821,0.0947,0.08255,0.0442,0.06218,0.08959,0.13002,0.07153,0.11825,0.05126,0.08902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,T
0.0,0.0,0.05513,-0.01937,0.12595,-0.00225,0.16862,0.0568,0.19317,0.11313,0.16775,-0.05629,0.24342,-0.04663,0.28876,-0.04429,0.3218,-0.04866,0.14925,-0.03529,0.20741,0.07198,0.17948,0.07906,0.16177,0.05006,0.12405,-0.00031,0.17837,0.10435,0.15371,0.10045,0.13955,0.07034,0.09591,0.03965,0.1431,0.11778,0.12061,0.11101,0.10348,0.08176,0.0,0.0,0.04451,-0.01373,0.10131,0.01286,0.13153,0.07338,0.14561,0.12601,0.1217,-0.04049,0.17062,-0.02479,0.19778,-0.01376,0.22016,-0.01046,0.10248,-0.02075,0.15974,0.07283,0.1363,0.07612,0.11668,0.04736,0.07686,0.01228,0.12683,0.11457,0.10684,0.10878,0.09322,0.07992,0.04996,0.05153,0.09373,0.12944,0.07448,0.11768,0.05679,0.08639,T
0.0,0.0,0.06167,-0.00676,0.13256,0.01909,0.17173,0.08235,0.19167,0.13925,0.17084,-0.03908,0.24949,-0.03512,0.29157,-0.02538,0.32052,-0.01782,0.15172,-0.01836,0.20889,0.08152,0.18418,0.0964,0.16814,0.07936,0.12605,0.0153,0.1788,0.1185,0.15833,0.11972,0.14667,0.09623,0.098,0.05313,0.1408,0.12749,0.12374,0.12435,0.11059,0.10043,0.0,0.0,0.04338,-0.01231,0.09639,0.01209,0.12684,0.07182,0.1431,0.12647,0.11741,-0.03898,0.17539,-0.02549,0.20669,-0.02143,0.23297,-0.0225,0.09936,-0.01763,0.15248,0.07048,0.12925,0.07796,0.11038,0.05606,0.07518,0.0162,0.12171,0.11088,0.10461,0.11128,0.09264,0.09087,0.05056,0.05585,0.08999,0.12685,0.07451,0.11986,0.05961,0.09565,T
0.0,0.0,0.06311,-0.00465,0.13252,0.02571,0.17223,0.09089,0.19467,0.15232,0.17352,-0.03929,0.24753,-0.02942,0.29311,-0.01796,0.32749,-0.00813,0.15471,-0.02116,0.2271,0.06806,0.23428,0.11807,0.23948,0.14406,0.12904,0.00727,0.18051,0.10375,0.15491,0.11246,0.13879,0.09754,0.10139,0.04442,0.14362,0.11701,0.12415,0.12128,0.10991,0.1035,0.0,0.0,0.04468,-0.00251,0.09694,0.03111,0.12464,0.09889,0.13737,0.16017,0.12519,-0.03413,0.18729,-0.02038,0.22641,-0.0134,0.2586,-0.01,0.10478,-0.01682,0.15324,0.07936,0.12793,0.08976,0.10855,0.06735,0.07806,0.01401,0.12086,0.10871,0.09906,0.10927,0.08473,0.08585,0.05076,0.05157,0.09104,0.12356,0.07401,0.12177,0.05931,0.1007,T
0.0,0.0,0.04683,-0.0015,0.09895,0.03225,0.12609,0.09839,0.13674,0.16014,0.12795,-0.02574,0.195,-0.01082,0.23524,0.00231,0.26765,0.01159,0.10665,-0.00893,0.15767,0.08629,0.13353,0.09276,0.11671,0.06901,0.07995,0.02029,0.1233,0.1137,0.1031,0.11044,0.0912,0.08547,0.05318,0.05573,0.09356,0.12506,0.07832,0.11903,0.06592,0.09418,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,T
0.0,0.0,0.04927,0.00179,0.1009,0.03534,0.12858,0.10199,0.14277,0.16289,0.13341,-0.02987,0.19703,-0.01456,0.2342,-0.00642,0.26395,-0.00261,0.11429,-0.01484,0.16448,0.08145,0.14085,0.09046,0.12409,0.0698,0.08869,0.01227,0.13315,0.10932,0.11343,0.10982,0.09993,0.08773,0.06179,0.04549,0.1013,0.11854,0.08677,0.1144,0.07376,0.09113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,T
0.0,0.0,0.04908,0.00248,0.10065,0.03732,0.12688,0.1039,0.13957,0.16755,0.13351,-0.02943,0.20186,-0.01126,0.24273,0.00159,0.27488,0.01058,0.11162,-0.01488,0.15916,0.08359,0.13375,0.09005,0.11621,0.06551,0.08374,0.01271,0.12776,0.10862,0.1068,0.10744,0.09309,0.08349,0.05551,0.04623,0.09686,0.12021,0.08124,0.11637,0.0668,0.09203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,T
0.0,0.0,0.05128,0.00679,0.10634,0.04256,0.13732,0.1073,0.15477,0.16906,0.14655,-0.02553,0.21212,-0.0039,0.25406,0.00504,0.28588,0.00871,0.12707,-0.01599,0.17339,0.09249,0.1462,0.10025,0.12926,0.07427,0.10025,0.00761,0.14387,0.11016,0.12044,0.11031,0.10606,0.08555,0.07134,0.03888,0.11231,0.11725,0.09503,0.11494,0.07985,0.09056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,T
0.0,0.0,0.05164,0.00149,0.11082,0.03812,0.14385,0.10556,0.16136,0.16953,0.15192,-0.02865,0.22257,-0.00184,0.26598,0.01423,0.30006,0.0228,0.13278,-0.01399,0.18067,0.0906,0.15315,0.09959,0.13625,0.07337,0.10564,0.01378,0.15111,0.11101,0.12808,0.11345,0.11411,0.08861,0.07634,0.04655,0.11952,0.11849,0.10332,0.12011,0.08861,0.09859,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,T
