x0,y0,x2,y1,x4,y2,x6,y3,x8,y4,x10,y5,x12,y6,x14,y7,x16,y8,x18,y9,x20,y10,x22,y11,x24,y12,x26,y13,x28,y14,x30,y15,x32,y16,x34,y17,x36,y18,x38,y19,x40,y20,x0,y0,x2,y1,x4,y2,x6,y3,x8,y4,x10,y5,x12,y6,x14,y7,x16,y8,x18,y9,x20,y10,x22,y11,x24,y12,x26,y13,x28,y14,x30,y15,x32,y16,x34,y17,x36,y18,x38,y19,x40,y20,label
0.0,0.0,0.03276,-0.04765,0.07846,-0.09056,0.10195,-0.13048,0.09819,-0.16801,0.08633,-0.08794,0.14856,-0.1256,0.18579,-0.14956,0.21348,-0.17255,0.07177,-0.0494,0.14645,-0.03974,0.17036,-0.04841,0.18171,-0.06389,0.05149,-0.0012,0.1241,0.03892,0.11601,0.03114,0.09479,0.0148,0.03323,0.04815,0.09373,0.08051,0.08464,0.07377,0.06229,0.05977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,X
0.0,0.0,0.04072,-0.02225,0.10333,-0.01898,0.15126,0.01922,0.17653,0.05005,0.10845,-0.08139,0.1624,-0.10904,0.20002,-0.12941,0.22572,-0.15078,0.09629,-0.05596,0.17163,-0.00134,0.15764,0.02169,0.13483,0.01294,0.0816,-0.01615,0.14878,0.04357,0.13148,0.05894,0.11118,0.04773,0.0669,0.03047,0.12674,0.07441,0.12659,0.08984,0.12136,0.08862,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,X
0.0,0.0,0.03762,-0.02817,0.10294,-0.03496,0.15343,-0.00457,0.18667,0.0318,0.11493,-0.09026,0.17709,-0.11451,0.21944,-0.12807,0.24915,-0.13956,0.1058,-0.06653,0.18236,-0.02109,0.18545,0.00387,0.17858,0.00799,0.09236,-0.02982,0.15772,0.02716,0.13616,0.038,0.11647,0.02856,0.07821,0.01465,0.13454,0.05747,0.11605,0.06397,0.09634,0.05542,0.0,0.0,-0.0448,-0.04298,-0.09932,-0.04961,-0.14334,-0.0161,-0.16381,0.02285,-0.12085,-0.08065,-0.17197,-0.00662,-0.17162,0.01319,-0.16764,0.01146,-0.09458,-0.0535,-0.15091,0.03906,-0.13084,0.04243,-0.11522,0.02416,-0.06925,-0.01713,-0.12266,0.07123,-0.10082,0.06488,-0.08488,0.03826,-0.046,0.02206,-0.09426,0.08891,-0.07892,0.08291,-0.06358,0.06173,X
0.0,0.0,0.04071,-0.02977,0.10835,-0.03963,0.16207,-0.01036,0.19921,0.02063,0.12667,-0.10697,0.1949,-0.13351,0.24011,-0.15472,0.27348,-0.1789,0.11667,-0.08095,0.19256,-0.02166,0.1704,0.00226,0.14299,-0.00955,0.10216,-0.04013,0.16705,0.01875,0.14087,0.03271,0.11959,0.01692,0.08751,0.00737,0.14224,0.05118,0.12053,0.06092,0.09997,0.04948,0.0,0.0,-0.03335,-0.04493,-0.08133,-0.06907,-0.12219,-0.07376,-0.14632,-0.08105,-0.10363,-0.09163,-0.1531,-0.09487,-0.1838,-0.10791,-0.20509,-0.12154,-0.09081,-0.06909,-0.15015,0.01095,-0.13252,0.01745,-0.11398,0.00138,-0.07475,-0.03258,-0.12905,0.04365,-0.1094,0.04107,-0.09283,0.0211,-0.05875,0.00469,-0.1034,0.06554,-0.0856,0.06616,-0.07028,0.05143,X
0.0,0.0,0.04862,-0.02981,0.11941,-0.03871,0.17412,-0.00733,0.21302,0.02416,0.13827,-0.10301,0.2065,-0.14121,0.25222,-0.16566,0.28556,-0.18489,0.12859,-0.08125,0.20743,-0.01823,0.18363,0.01125,0.15763,0.00665,0.11394,-0.04454,0.18065,0.02262,0.15529,0.03695,0.13544,0.02269,0.09777,-0.00103,0.15395,0.04902,0.1342,0.05767,0.11498,0.04261,0.0,0.0,-0.04054,-0.04726,-0.09507,-0.07265,-0.14141,-0.07374,-0.16544,-0.06782,-0.12735,-0.10215,-0.17761,-0.02742,-0.15881,-0.01685,-0.14354,-0.03215,-0.11088,-0.07693,-0.16903,0.01532,-0.14299,0.01714,-0.12633,-0.00276,-0.09317,-0.04167,-0.14597,0.04289,-0.12096,0.03887,-0.10592,0.01656,-0.0749,-0.0032,-0.1206,0.06035,-0.10131,0.05977,-0.08656,0.0425,X
0.0,0.0,0.04755,-0.03563,0.11654,-0.05124,0.16928,-0.02454,0.2084,0.01076,0.14611,-0.11222,0.21231,-0.1554,0.25719,-0.17997,0.29034,-0.19944,0.13758,-0.09304,0.22911,-0.03271,0.23258,0.01399,0.22339,0.03306,0.12197,-0.05808,0.19225,0.01206,0.16937,0.03271,0.14822,0.02526,0.10514,-0.0144,0.16189,0.03698,0.14386,0.04934,0.12379,0.03809,0.0,0.0,-0.04037,-0.04655,-0.0916,-0.07718,-0.13477,-0.09256,-0.16176,-0.10551,-0.12753,-0.09937,-0.18177,-0.00794,-0.16309,0.00543,-0.14435,-0.00977,-0.11112,-0.07476,-0.17043,0.02567,-0.14663,0.02909,-0.12838,0.00825,-0.09272,-0.04107,-0.14548,0.04846,-0.12232,0.04601,-0.1061,0.02433,-0.0736,-0.00378,-0.11496,0.06295,-0.09726,0.06249,-0.08252,0.04381,X
0.0,0.0,0.05057,-0.03945,0.12147,-0.06043,0.1753,-0.03877,0.21492,-0.00546,0.15103,-0.12042,0.22005,-0.16913,0.26551,-0.19453,0.29866,-0.21216,0.14203,-0.10254,0.23158,-0.04162,0.22804,0.00488,0.21431,0.02308,0.12789,-0.0677,0.20321,0.00055,0.18339,0.02343,0.16301,0.01989,0.11405,-0.02285,0.17442,0.02718,0.15998,0.04099,0.1427,0.03311,0.0,0.0,-0.03906,-0.04282,-0.0918,-0.07455,-0.13386,-0.09503,-0.16163,-0.11636,-0.13215,-0.09813,-0.18627,-0.00631,-0.1665,0.00816,-0.1479,-0.00804,-0.11708,-0.07578,-0.17442,0.02737,-0.15082,0.03239,-0.134,0.01143,-0.09884,-0.04408,-0.14997,0.04829,-0.12806,0.04858,-0.11369,0.02693,-0.07884,-0.00862,-0.11742,0.05952,-0.0992,0.05834,-0.08459,0.0376,X
0.0,0.0,0.05416,-0.04566,0.12306,-0.071,0.17521,-0.0585,0.21379,-0.03322,0.15723,-0.12432,0.22545,-0.18249,0.27108,-0.21419,0.30229,-0.23647,0.14941,-0.10888,0.24385,-0.04241,0.24484,0.00324,0.23605,0.02023,0.13638,-0.07323,0.21721,-0.00138,0.20588,0.02709,0.19077,0.02936,0.12378,-0.02853,0.18559,0.02193,0.19363,0.04477,0.19643,0.04883,0.0,0.0,-0.03644,-0.04175,-0.08845,-0.06441,-0.13382,-0.06237,-0.16152,-0.04915,-0.1219,-0.10417,-0.17543,-0.07459,-0.17586,-0.08237,-0.17063,-0.10514,-0.11119,-0.08299,-0.17569,0.01211,-0.15325,0.02179,-0.1338,0.00231,-0.09518,-0.04832,-0.14909,0.04396,-0.12688,0.04885,-0.11131,0.02681,-0.07596,-0.01125,-0.11674,0.05975,-0.0976,0.06208,-0.08267,0.04178,X
0.0,0.0,0.05499,-0.04637,0.12479,-0.0696,0.17925,-0.05454,0.21897,-0.02443,0.15532,-0.12885,0.22993,-0.18927,0.2771,-0.19888,0.30217,-0.18897,0.14713,-0.11138,0.23667,-0.04125,0.24723,0.00445,0.24705,0.026,0.13442,-0.07534,0.20869,6e-05,0.19741,0.02502,0.18136,0.02755,0.12212,-0.03104,0.18045,0.02091,0.17863,0.04293,0.17054,0.0475,0.0,0.0,-0.04523,-0.0401,-0.09919,-0.0706,-0.14253,-0.09181,-0.17166,-0.10864,-0.13531,-0.0988,-0.19276,-0.01578,-0.17469,0.00212,-0.15664,-0.01015,-0.12135,-0.07746,-0.18324,0.02055,-0.1601,0.02754,-0.14316,0.00752,-0.10402,-0.04682,-0.16093,0.0416,-0.13838,0.04409,-0.12281,0.02357,-0.08452,-0.01243,-0.12566,0.05392,-0.10926,0.0571,-0.0952,0.04046,X
0.0,0.0,0.05557,-0.04703,0.12338,-0.07336,0.17747,-0.06468,0.2185,-0.0388,0.161,-0.13128,0.23506,-0.1765,0.27941,-0.20448,0.30879,-0.22157,0.15162,-0.11673,0.23511,-0.05391,0.25599,-0.01267,0.26761,0.01153,0.13778,-0.08188,0.2081,-0.01065,0.20433,0.02055,0.1948,0.03334,0.12404,-0.03818,0.17811,0.01397,0.18769,0.04303,0.19063,0.05919,0.0,0.0,-0.04349,-0.03979,-0.09593,-0.0682,-0.14045,-0.08076,-0.17129,-0.08373,-0.13681,-0.10304,-0.19332,-0.03037,-0.18667,0.00735,-0.17202,0.01513,-0.12205,-0.08355,-0.18416,0.00895,-0.17109,0.0388,-0.15704,0.03743,-0.10371,-0.05204,-0.15876,0.03636,-0.14981,0.06049,-0.14132,0.05718,-0.08441,-0.01425,-0.12595,0.05669,-0.1155,0.06838,-0.10559,0.05781,X
