x0,y0,x2,y1,x4,y2,x6,y3,x8,y4,x10,y5,x12,y6,x14,y7,x16,y8,x18,y9,x20,y10,x22,y11,x24,y12,x26,y13,x28,y14,x30,y15,x32,y16,x34,y17,x36,y18,x38,y19,x40,y20,x0,y0,x2,y1,x4,y2,x6,y3,x8,y4,x10,y5,x12,y6,x14,y7,x16,y8,x18,y9,x20,y10,x22,y11,x24,y12,x26,y13,x28,y14,x30,y15,x32,y16,x34,y17,x36,y18,x38,y19,x40,y20,label
0.0,0.0,0.04157,-0.02029,0.0757,-0.08052,0.09031,-0.13002,0.09496,-0.17773,0.02083,-0.20112,0.06475,-0.21959,0.08423,-0.15937,0.08325,-0.11131,-0.00542,-0.19351,0.05421,-0.19704,0.07567,-0.13404,0.07645,-0.08967,-0.02568,-0.16856,0.03783,-0.16529,0.05884,-0.1116,0.05832,-0.07314,-0.04207,-0.13051,0.01798,-0.12746,0.03674,-0.08668,0.03674,-0.05471,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Y
0.0,0.0,0.04811,-0.03677,0.07671,-0.11593,0.09169,-0.177,0.09723,-0.22745,0.01432,-0.22288,0.07309,-0.2407,0.08856,-0.17988,0.0796,-0.13261,-0.00523,-0.2145,0.06491,-0.2248,0.08068,-0.16495,0.07242,-0.12314,-0.01974,-0.19508,0.05292,-0.20196,0.06683,-0.14719,0.0588,-0.10684,-0.03061,-0.16253,0.03442,-0.17656,0.04891,-0.13161,0.04469,-0.09434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Y
0.0,0.0,0.05561,-0.03499,0.09111,-0.10519,0.11803,-0.1588,0.1391,-0.20379,0.03447,-0.24088,0.09315,-0.25174,0.10205,-0.18699,0.08926,-0.14296,0.0136,-0.23436,0.08564,-0.23684,0.09361,-0.17201,0.0808,-0.13116,-0.00224,-0.21527,0.07235,-0.21408,0.08018,-0.15663,0.06889,-0.11636,-0.01517,-0.18311,0.04977,-0.19094,0.06195,-0.14615,0.05754,-0.1103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Y
0.0,0.0,0.06064,-0.03623,0.10053,-0.11788,0.13621,-0.18135,0.16995,-0.23369,0.02713,-0.24767,0.09439,-0.27484,0.1095,-0.2324,0.10078,-0.21044,0.0055,-0.2444,0.09917,-0.24801,0.10898,-0.17675,0.09075,-0.13428,-0.00788,-0.22409,0.08666,-0.2217,0.09159,-0.15456,0.07337,-0.11331,-0.01623,-0.18857,0.06087,-0.19276,0.07079,-0.14417,0.05956,-0.10778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Y
0.0,0.0,0.06444,-0.02515,0.10966,-0.11214,0.14986,-0.17732,0.19416,-0.23003,0.04498,-0.24106,0.08257,-0.30525,0.10303,-0.35717,0.11541,-0.40579,0.01906,-0.24221,0.11262,-0.24942,0.11676,-0.17185,0.09257,-0.12393,0.00059,-0.22208,0.09708,-0.21907,0.09753,-0.14521,0.07588,-0.10566,-0.01304,-0.18508,0.06837,-0.18391,0.07694,-0.12952,0.06113,-0.09473,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Y
0.0,0.0,0.0631,-0.03022,0.10897,-0.11652,0.14775,-0.1801,0.18515,-0.22687,0.05407,-0.24778,0.08131,-0.3392,0.11514,-0.40108,0.14518,-0.44811,0.02587,-0.24589,0.11851,-0.24783,0.11984,-0.16248,0.09723,-0.11592,0.0047,-0.22471,0.09944,-0.21594,0.09511,-0.14041,0.07229,-0.10343,-0.01446,-0.1869,0.06654,-0.18516,0.07119,-0.12915,0.05336,-0.09617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Y
0.0,0.0,0.07125,-0.03316,0.121,-0.11772,0.15896,-0.17763,0.19818,-0.22309,0.07123,-0.26454,0.10723,-0.35319,0.13836,-0.41267,0.16574,-0.46006,0.04269,-0.26526,0.13473,-0.25111,0.13397,-0.16955,0.11172,-0.12073,0.0223,-0.24098,0.11434,-0.22284,0.10887,-0.14961,0.08795,-0.11058,0.00613,-0.20133,0.08302,-0.19654,0.08586,-0.14364,0.07028,-0.11149,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Y
0.0,0.0,0.07649,-0.04615,0.13082,-0.13197,0.1744,-0.19231,0.21906,-0.2387,0.08012,-0.2632,0.11848,-0.3566,0.15003,-0.41456,0.17656,-0.46325,0.05182,-0.26657,0.14588,-0.25671,0.14023,-0.1723,0.11337,-0.13179,0.03111,-0.25296,0.12357,-0.23339,0.11284,-0.15557,0.08735,-0.12013,0.01382,-0.22776,0.09367,-0.21821,0.09514,-0.15935,0.07695,-0.12679,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Y
0.0,0.0,0.07478,-0.04688,0.12982,-0.13651,0.17371,-0.19871,0.21977,-0.24158,0.08086,-0.26628,0.11984,-0.35704,0.15178,-0.41413,0.17875,-0.46212,0.05154,-0.27002,0.14327,-0.25973,0.1373,-0.17374,0.10984,-0.13004,0.02865,-0.25681,0.11933,-0.24014,0.10845,-0.1617,0.08327,-0.12494,0.00866,-0.23182,0.08882,-0.22294,0.08972,-0.1609,0.07177,-0.1264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Y
0.0,0.0,0.07736,-0.04702,0.13148,-0.13112,0.17446,-0.19186,0.21995,-0.23596,0.08253,-0.26234,0.12208,-0.35321,0.15416,-0.41045,0.18057,-0.45885,0.05359,-0.2667,0.14589,-0.25528,0.13735,-0.16965,0.10783,-0.128,0.03113,-0.25399,0.12176,-0.23451,0.10972,-0.15719,0.08337,-0.12145,0.01088,-0.23032,0.08966,-0.22022,0.09091,-0.16041,0.07311,-0.12773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Y
