x0,y0,x2,y1,x4,y2,x6,y3,x8,y4,x10,y5,x12,y6,x14,y7,x16,y8,x18,y9,x20,y10,x22,y11,x24,y12,x26,y13,x28,y14,x30,y15,x32,y16,x34,y17,x36,y18,x38,y19,x40,y20,x0,y0,x2,y1,x4,y2,x6,y3,x8,y4,x10,y5,x12,y6,x14,y7,x16,y8,x18,y9,x20,y10,x22,y11,x24,y12,x26,y13,x28,y14,x30,y15,x32,y16,x34,y17,x36,y18,x38,y19,x40,y20,label
0.0,0.0,-0.00161,-0.06645,0.01894,-0.12859,0.0408,-0.171,0.05476,-0.20602,0.04479,-0.15071,0.05989,-0.22424,0.06707,-0.27957,0.07411,-0.32446,0.05242,-0.15065,0.06637,-0.23128,0.0754,-0.28922,0.08279,-0.33937,0.05875,-0.14563,0.07127,-0.22457,0.07903,-0.27877,0.08452,-0.32238,0.0654,-0.13823,0.07664,-0.20416,0.08237,-0.24533,0.08525,-0.27942,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Z
0.0,0.0,0.00204,-0.07419,0.02289,-0.13887,0.04386,-0.18346,0.05981,-0.22031,0.04508,-0.14719,0.07084,-0.22247,0.08238,-0.28469,0.08858,-0.33861,0.05263,-0.14512,0.07629,-0.22503,0.08839,-0.29092,0.09627,-0.35081,0.06047,-0.14241,0.08398,-0.21974,0.09461,-0.28336,0.09922,-0.33805,0.07042,-0.13866,0.08831,-0.20475,0.09662,-0.25372,0.1005,-0.29637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Z
0.0,0.0,0.02887,-0.04745,0.054,-0.1233,0.06836,-0.18438,0.07931,-0.23342,0.03867,-0.15844,0.06717,-0.23899,0.08554,-0.30588,0.09697,-0.36257,0.03809,-0.1577,0.06845,-0.24202,0.0879,-0.31049,0.10326,-0.37471,0.04602,-0.14892,0.07801,-0.2321,0.09665,-0.29695,0.10964,-0.35593,0.06068,-0.13221,0.0862,-0.20032,0.10105,-0.25092,0.11192,-0.29574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Z
0.0,0.0,0.05329,-0.03194,0.08076,-0.10153,0.09238,-0.1516,0.09692,-0.19572,0.05569,-0.16943,0.08165,-0.23687,0.09997,-0.29325,0.11123,-0.34334,0.05255,-0.17509,0.08006,-0.24723,0.09956,-0.30379,0.11356,-0.35864,0.05657,-0.1707,0.08516,-0.24383,0.10343,-0.29833,0.11494,-0.3474,0.06861,-0.15776,0.09353,-0.22228,0.10861,-0.26782,0.11999,-0.30583,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Z
0.0,0.0,0.06688,-0.03371,0.09516,-0.11251,0.10781,-0.16764,0.11636,-0.21144,0.06291,-0.16994,0.0859,-0.2392,0.10532,-0.29796,0.12053,-0.34763,0.05622,-0.17108,0.0844,-0.2489,0.10684,-0.30956,0.12521,-0.36703,0.05715,-0.15755,0.0906,-0.23498,0.11291,-0.29215,0.12922,-0.34472,0.06703,-0.13269,0.09494,-0.18793,0.11253,-0.22999,0.12747,-0.26686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Z
0.0,0.0,0.06189,-0.02865,0.0862,-0.10504,0.09078,-0.15566,0.09585,-0.19019,0.0648,-0.17429,0.08594,-0.24145,0.10408,-0.2973,0.11872,-0.34439,0.058,-0.17826,0.08318,-0.25256,0.10422,-0.31031,0.12264,-0.36421,0.0576,-0.16935,0.08807,-0.24143,0.10826,-0.29399,0.12364,-0.34218,0.0648,-0.14873,0.0915,-0.19625,0.10795,-0.23347,0.12295,-0.26664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Z
0.0,0.0,0.06244,-0.03495,0.08955,-0.11794,0.09947,-0.17466,0.10899,-0.22342,0.06012,-0.17821,0.08016,-0.25412,0.10012,-0.31706,0.1176,-0.37051,0.05178,-0.18268,0.0748,-0.26549,0.09903,-0.32875,0.12119,-0.38491,0.05073,-0.17577,0.0793,-0.2588,0.1025,-0.31811,0.12195,-0.36815,0.05905,-0.15909,0.08338,-0.22242,0.10189,-0.26753,0.12006,-0.30466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Z
0.0,0.0,0.06544,-0.03799,0.08895,-0.12446,0.09841,-0.18028,0.1119,-0.22909,0.05798,-0.18866,0.0801,-0.26422,0.09874,-0.32675,0.11332,-0.3808,0.04952,-0.19057,0.07636,-0.27446,0.09814,-0.34201,0.11559,-0.40396,0.04769,-0.18186,0.07974,-0.26587,0.10061,-0.32821,0.11578,-0.38347,0.0542,-0.1642,0.08143,-0.22966,0.09962,-0.2791,0.11568,-0.32201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Z
0.0,0.0,0.06811,-0.04094,0.08896,-0.12669,0.10009,-0.17978,0.11541,-0.22709,0.05927,-0.20205,0.08352,-0.27709,0.10328,-0.33859,0.11776,-0.39274,0.05,-0.20116,0.07927,-0.28399,0.10211,-0.35021,0.11999,-0.41426,0.04697,-0.18834,0.07999,-0.27293,0.10236,-0.33446,0.11841,-0.39059,0.0523,-0.16564,0.0792,-0.23482,0.09768,-0.28603,0.11441,-0.33026,0.0,0.0,-0.05507,-0.00279,-0.09405,-0.04426,-0.11607,-0.08009,-0.12977,-0.10607,-0.06369,-0.15398,-0.12297,-0.15687,-0.1651,-0.15667,-0.19769,-0.15768,-0.05485,-0.15269,-0.12343,-0.15341,-0.16873,-0.14761,-0.20375,-0.14812,-0.05045,-0.13454,-0.12059,-0.12062,-0.13183,-0.09336,-0.12995,-0.0827,-0.05206,-0.10221,-0.1089,-0.09103,-0.11223,-0.06481,-0.10116,-0.04871,Z
0.0,0.0,0.06626,-0.03612,0.08846,-0.12312,0.09949,-0.17824,0.11435,-0.22756,0.0584,-0.20904,0.0885,-0.28486,0.10841,-0.34926,0.11987,-0.40645,0.04989,-0.2114,0.08506,-0.29505,0.10646,-0.36314,0.12082,-0.42924,0.0484,-0.20238,0.08671,-0.28854,0.10781,-0.35156,0.12078,-0.40966,0.05572,-0.18401,0.08609,-0.25553,0.10324,-0.30921,0.11699,-0.35554,0.0,0.0,-0.06386,-0.00331,-0.10401,-0.0535,-0.12765,-0.09617,-0.13786,-0.12443,-0.07049,-0.16846,-0.13279,-0.16857,-0.17815,-0.16842,-0.21264,-0.16675,-0.05967,-0.17083,-0.13035,-0.17171,-0.17978,-0.17191,-0.22063,-0.16998,-0.05669,-0.15625,-0.13073,-0.16001,-0.17858,-0.16213,-0.21668,-0.16399,-0.06328,-0.12284,-0.12806,-0.13084,-0.16547,-0.13406,-0.19502,-0.1359,Z
